"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","refurl","CONTMEDF.MEDF.","CONTMEDP.MEDPOS1.","CONTMEDP.MEDPOS2.","CONTMEDP.MEDPOS4.","CONTMEDAIUTARSI.MEDAMB.","CONTMEDN.MEDNEG1.","CONTMEDN.MEDNEG2.","CONTMEDN.MEDNEG3.","CONTMEDN2.MC1.","CONTMEDN2.MEDNEG4.","CONTINDF.INDF.","CONTINDVP.INDPOS1.","CONTINDVP.INDPOS2.","CONTINDVP.INDPOS3.","CONTINDVN.INDNEG1.","CONTINDVN.INDNEG2.","CONTINDVN.INDNEG3.","CONTDF.DF.","CONTDPOS.DPOS1.","CONTDPOS.DPOS2.","CONTDPOS.DPOS3.","CONTDNEG.DNEG1.","CONTDNEG.DNEG2.","CONTDNEG.DNEG3.","JMC0.JMC1.","JMC0.JMC2.","JMC0.JMC3.","JMC0.JMC4.","JMC0.JMC5.","JMC0.JMC6.","JMC0.JMC7.","JMC0.JMC8.","ROM0.ROM1.","ROM0.ROM2.","ROM0.ROM3.","ROM0.ROM4.","ATCOS0.ATCOS1.","ATCOS0.MC2.","ATCOS0.ATCOS2.","ATCOS0.ATCOS3.","ATCOS0.ATCOS4.","SCB0.SCB1.","SCB0.SCB2.","SCB0.SCB3.","SCB0.SCB4.","MIN0.THREAT1.","MIN0.THREAT2.","MIN0.THREAT3.","MIN0.THREAT4.","MIN0.THREAT5.","ONORE0.ONORE1.","ONORE0.ONORE2.","ONORE0.ONORE3.","ONORE0.ONORE4.","ONORE0.ONORE5.","ONORE0.ONORE6.","ONORE0.ONORE7.","ONORE0.ONORE8.","INT0.INT1.","INT0.INT2.","INT0.MC3.","INT0.INT3.","INT0.INT4.","METAATT.META1.","METAATT.META2.","METAATT.META3.","METAATT.META4.","CAMPCONTR1","CAMPCONTR2","SESSO","ETA","ISTR","Occupazione"
1,"",NA,"it",659568537,"2023-04-27 17:44:23","2023-04-27 17:44:23","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,"",3,"it",443993514,"2023-04-27 18:03:54","2023-04-27 18:10:21","",4,3,4,1,3,6,6,6,2,6,7,1,1,1,4,5,6,2,1,1,1,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
3,"2023-04-27 18:37:28",12,"it",320827463,"2023-04-27 18:06:54","2023-04-27 18:37:28","",4,4,3,4,4,5,5,4,2,3,4,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,3,2,2,2,2,5,2,5,3,4,5,4,5,2,2,5,7,4,1,6,6,7,6,6,2,3,2,3,5,1,2,2,"A6","A5","A6","A1","A4",5,5,4,3,1,2,0,26,4,"Ingegnere "
4,"2023-04-27 18:20:03",12,"it",640219355,"2023-04-27 18:09:07","2023-04-27 18:20:03","",7,1,1,1,5,7,7,7,2,6,1,1,1,1,2,2,2,1,1,1,1,1,1,1,4,4,1,1,1,1,4,4,1,1,5,1,1,4,1,1,1,7,7,7,1,7,7,7,7,7,1,1,1,6,5,1,1,1,"A7","A7","A6","A7","A7",4,4,1,1,1,1,1,56,4,"Docente"
5,"2023-04-27 18:31:04",12,"it",1823555363,"2023-04-27 18:15:19","2023-04-27 18:31:04","",4,5,3,4,4,4,3,5,2,7,1,1,1,1,1,1,1,3,1,1,1,5,3,1,5,6,2,4,2,5,5,3,5,2,5,1,1,4,1,1,1,5,7,5,1,5,5,6,5,5,1,1,1,1,1,1,1,1,"A7","A7","A6","A7","A7",1,6,1,1,1,2,1,24,4,""
6,"2023-04-27 18:26:52",12,"it",1095073458,"2023-04-27 18:15:32","2023-04-27 18:26:52","",2,2,2,2,3,6,6,6,2,7,1,1,1,1,3,3,3,1,1,1,1,5,6,1,3,1,3,1,1,4,1,1,5,1,1,1,1,4,5,1,1,7,7,7,1,7,5,7,7,5,1,7,1,7,7,7,1,7,"A7","A1","A6","A1","A1",1,5,6,1,1,2,0,28,2,"Operaio"
7,"2023-04-27 18:34:30",12,"it",1033335797,"2023-04-27 18:17:14","2023-04-27 18:34:30","",5,3,3,5,5,4,5,6,2,5,5,3,1,1,5,1,3,3,1,1,1,1,1,1,2,1,2,2,1,1,1,1,4,1,4,1,1,4,1,1,1,7,7,7,1,7,7,7,5,7,1,2,2,2,7,1,2,2,"A7","A4","A6","A4","A5",1,1,1,1,2,1,0,41,2,"Impiegato"
8,"2023-04-27 18:26:35",12,"it",1171188680,"2023-04-27 18:18:01","2023-04-27 18:26:35","",1,1,1,1,4,3,4,4,2,4,2,1,1,1,3,3,3,1,1,1,1,7,7,7,4,1,6,5,1,1,1,1,1,3,5,1,1,4,1,1,1,4,7,7,3,7,4,7,7,7,2,7,1,5,5,1,1,1,"A6","A5","A6","A1","A5",5,5,5,5,2,2,0,25,4,"Studente"
9,"",3,"it",322300175,"2023-04-27 18:20:09","2023-04-27 18:45:37","",4,1,1,1,5,6,4,6,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
10,"",4,"it",1483565519,"2023-04-27 18:20:50","2023-04-27 18:31:25","",7,3,2,3,1,7,7,7,2,7,3,2,2,2,2,2,2,2,1,1,1,3,3,2,2,3,1,3,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
